global,year,age_group,cause,fraction_of_deaths
global,2000,u5,13,0.0801582857966423
global,2001,u5,13,0.08011557161808014
global,2002,u5,13,0.08024246245622635
global,2003,u5,13,0.079609215259552
global,2004,u5,13,0.08041620999574661
global,2005,u5,13,0.08007337898015976
global,2006,u5,13,0.08170826733112335
global,2007,u5,13,0.08304797857999802
global,2008,u5,13,0.08339295536279678
global,2009,u5,13,0.08489163964986801
global,2010,u5,13,0.08611444383859634
global,2011,u5,13,0.0870278850197792
global,2012,u5,13,0.08867529779672623
global,2013,u5,13,0.09078005701303482
global,2014,u5,13,0.09343308210372925
global,2015,u5,13,0.09527917206287384
global,2016,u5,13,0.09674178063869476
global,2017,u5,13,0.09790430217981339
global,2000,u5,15,0.05723009631037712
global,2001,u5,15,0.05828274413943291
global,2002,u5,15,0.059467483311891556
global,2003,u5,15,0.059969089925289154
global,2004,u5,15,0.062246549874544144
global,2005,u5,15,0.06347347795963287
global,2006,u5,15,0.06628087908029556
global,2007,u5,15,0.06865102797746658
global,2008,u5,15,0.06991517543792725
global,2009,u5,15,0.0718165710568428
global,2010,u5,15,0.07419023662805557
global,2011,u5,15,0.07611832022666931
global,2012,u5,15,0.07872744649648666
global,2013,u5,15,0.08074773102998734
global,2014,u5,15,0.08330877870321274
global,2015,u5,15,0.08568964153528214
global,2016,u5,15,0.08682296425104141
global,2017,u5,15,0.08760926872491837
global,2000,u5,16,0.03422364965081215
global,2001,u5,16,0.03449774906039238
global,2002,u5,16,0.03471502661705017
global,2003,u5,16,0.03478722646832466
global,2004,u5,16,0.03569624200463295
global,2005,u5,16,0.03594309464097023
global,2006,u5,16,0.03699919581413269
global,2007,u5,16,0.037957560271024704
global,2008,u5,16,0.03840181604027748
global,2009,u5,16,0.039520688354969025
global,2010,u5,16,0.040188536047935486
global,2011,u5,16,0.04099331796169281
global,2012,u5,16,0.04221384599804878
global,2013,u5,16,0.04285801202058792
global,2014,u5,16,0.043704207986593246
global,2015,u5,16,0.044402796775102615
global,2016,u5,16,0.044902801513671875
global,2017,u5,16,0.045498356223106384
global,2000,u5,17,0.04490696266293526
global,2001,u5,17,0.0448438934981823
global,2002,u5,17,0.04489823803305626
global,2003,u5,17,0.044602714478969574
global,2004,u5,17,0.049254160374403
global,2005,u5,17,0.04617443308234215
global,2006,u5,17,0.047800321131944656
global,2007,u5,17,0.04911993071436882
global,2008,u5,17,0.05275518819689751
global,2009,u5,17,0.05134433135390282
global,2010,u5,17,0.05747464299201965
