global,year,age_group,cause,death_rate
global,2015,u5,15,3.556468963623047
global,2016,u5,15,3.4896910190582275
global,2017,u5,15,3.3781392574310303
global,2000,u5,16,2.620652914047241
global,2001,u5,16,2.554422616958618
global,2002,u5,16,2.473153591156006
global,2003,u5,16,2.3991050720214844
global,2004,u5,16,2.3348567485809326
global,2005,u5,16,2.2625603675842285
global,2006,u5,16,2.2044694423675537
global,2007,u5,16,2.149508237838745
global,2008,u5,16,2.098757743835449
global,2009,u5,16,2.068787097930908
global,2010,u5,16,2.02354097366333
global,2011,u5,16,1.9890077114105225
global,2012,u5,16,1.9514400959014893
global,2013,u5,16,1.9123128652572632
global,2014,u5,16,1.8776583671569824
global,2015,u5,16,1.8428969383239746
global,2016,u5,16,1.8047863245010376
global,2017,u5,16,1.754378080368042
global,2000,u5,17,3.438720464706421
global,2001,u5,17,3.320513963699341
global,2002,u5,17,3.1986215114593506
global,2003,u5,17,3.07603120803833
global,2004,u5,17,3.2216670513153076
global,2005,u5,17,2.906606674194336
global,2006,u5,17,2.8480172157287598
global,2007,u5,17,2.781625270843506
global,2008,u5,17,2.883206367492676
global,2009,u5,17,2.687718391418457
global,2010,u5,17,2.8939175605773926
global,2011,u5,17,2.610592842102051
global,2012,u5,17,2.564206123352051
global,2013,u5,17,2.5430126190185547
global,2014,u5,17,2.519871711730957
global,2015,u5,17,2.513112783432007
global,2016,u5,17,2.462103843688965
global,2017,u5,17,2.395404100418091
