country,year,pnd
fsm,2000,93.0
fsm,2001,89.0
fsm,2002,85.00000762939453
fsm,2003,81.0
fsm,2004,75.0
fsm,2005,71.0
fsm,2006,66.0
fsm,2007,61.0
fsm,2008,56.000003814697266
fsm,2009,52.0
fsm,2010,51.0
fsm,2011,46.999996185302734
fsm,2012,43.999996185302734
fsm,2013,43.0
fsm,2014,41.0
fsm,2015,40.000003814697266
fsm,2016,38.999996185302734
fsm,2017,37.999996185302734
gab,2000,2249.360595703125
gab,2001,3345.0927734375
gab,2002,2959.569091796875
gab,2003,2796.85986328125
gab,2004,2637.89453125
gab,2005,1821.4921875
gab,2006,1890.5474853515625
gab,2007,1936.685302734375
gab,2008,1796.2117919921875
gab,2009,1799.5452880859375
gab,2010,1833.2301025390625
gab,2011,1859.4638671875
gab,2012,1871.6494140625
gab,2013,1715.76416015625
gab,2014,1658.7210693359375
gab,2015,1650.506103515625
gab,2016,1865.073974609375
gab,2017,1711.2789306640625
gbr,2000,1982.0
gbr,2001,1929.0001220703125
gbr,2002,1887.0
gbr,2003,1854.0
gbr,2004,1824.0
gbr,2005,1796.0
gbr,2006,1775.9998779296875
gbr,2007,1762.0
gbr,2008,1741.0
gbr,2009,1698.0
gbr,2010,1635.0001220703125
gbr,2011,1566.0
gbr,2012,1511.0
gbr,2013,1473.0
gbr,2014,1442.0
gbr,2015,1414.0
gbr,2016,1391.0
gbr,2017,1366.0
geo,2000,804.0000610351562
geo,2001,704.0
geo,2002,619.0000610351562
geo,2003,548.0
geo,2004,490.0
geo,2005,439.9999694824219
geo,2006,398.9999694824219
geo,2007,361.0
geo,2008,331.0
geo,2009,303.9999694824219
geo,2010,282.0
geo,2011,264.0
geo,2012,252.0
geo,2013,246.99998474121094
