region,year,age_group,cause,deaths
3_sear,2006,u5,3,281482.25619482994
6_wpr,2006,u5,3,31231.056918099523
5_emr,2007,u5,3,101671.39032626152
1_afr,2007,u5,3,365160.53962633014
6_wpr,2007,u5,3,28202.560825243592
2_amr,2007,u5,3,16117.87760009244
3_sear,2007,u5,3,259749.82935094833
4_eur,2007,u5,3,5777.855890200764
5_emr,2008,u5,3,98411.24983555079
6_wpr,2008,u5,3,25684.90553055331
3_sear,2008,u5,3,238760.49496889114
2_amr,2008,u5,3,14122.57192317769
4_eur,2008,u5,3,5482.178087692882
1_afr,2008,u5,3,348287.5587515235
5_emr,2009,u5,3,94979.21294486523
1_afr,2009,u5,3,337227.94003266096
6_wpr,2009,u5,3,23814.132586020976
4_eur,2009,u5,3,5108.8495993685065
2_amr,2009,u5,3,12626.918681517243
3_sear,2009,u5,3,218996.08634662628
6_wpr,2010,u5,3,21914.750892493874
4_eur,2010,u5,3,4777.34365171742
1_afr,2010,u5,3,325902.58611644804
3_sear,2010,u5,3,199756.25568258762
2_amr,2010,u5,3,11612.643434539437
5_emr,2010,u5,3,91382.41961443424
1_afr,2011,u5,3,314556.5814780146
4_eur,2011,u5,3,4699.786453057104
5_emr,2011,u5,3,87780.6878207326
3_sear,2011,u5,3,182099.30223882198
2_amr,2011,u5,3,10081.956776347011
6_wpr,2011,u5,3,20576.32889459282
2_amr,2012,u5,3,9548.683936715126
6_wpr,2012,u5,3,19425.456527452916
5_emr,2012,u5,3,83385.1506331563
3_sear,2012,u5,3,165620.35604834557
1_afr,2012,u5,3,299880.3267444372
4_eur,2012,u5,3,4469.523478210787
1_afr,2013,u5,3,288648.6732760519
5_emr,2013,u5,3,82544.9141702652
2_amr,2013,u5,3,9228.870136216283
4_eur,2013,u5,3,4214.157653577626
3_sear,2013,u5,3,151636.69531202316
6_wpr,2013,u5,3,18152.047176307067
2_amr,2014,u5,3,8686.804201513529
5_emr,2014,u5,3,79518.46173936129
3_sear,2014,u5,3,138234.800447464
4_eur,2014,u5,3,3907.9622130369535
1_afr,2014,u5,3,276853.14294849336
6_wpr,2014,u5,3,17300.136740526184
2_amr,2015,u5,3,8177.152531482279
4_eur,2015,u5,3,3582.6101784557104
6_wpr,2015,u5,3,16501.78812479973
1_afr,2015,u5,3,263172.3396998644
5_emr,2015,u5,3,75246.1452229917
3_sear,2015,u5,3,130197.67787796259
2_amr,2016,u5,3,8118.078906595707
1_afr,2016,u5,3,251408.4002544582
3_sear,2016,u5,3,120848.32504922152
5_emr,2016,u5,3,71357.45949444175
6_wpr,2016,u5,3,15633.704417642206
4_eur,2016,u5,3,3313.405844181776
1_afr,2017,u5,3,235605.8184774965
2_amr,2017,u5,3,7644.383641034365
4_eur,2017,u5,3,3033.612826168537
3_sear,2017,u5,3,112522.50052434206
5_emr,2017,u5,3,66728.48646762967
6_wpr,2017,u5,3,14986.410169821233
5_emr,2000,u5,5,44013.10060198605
6_wpr,2000,u5,5,5937.238889519125
1_afr,2000,u5,5,55868.84394097328
2_amr,2000,u5,5,646.2499372959137
3_sear,2000,u5,5,65626.0302721858
4_eur,2000,u5,5,407.4534840583801
5_emr,2001,u5,5,38379.28051139414
2_amr,2001,u5,5,658.0192172527313
