country,year,rpost17
dma,2009,0.17711985111236572
dma,2010,0.5235746502876282
dma,2011,0.7649653553962708
dma,2012,0.9738839268684387
dma,2013,0.856045126914978
dma,2014,0.6377297639846802
dma,2015,0.5766798257827759
dma,2016,0.535338819026947
dma,2017,0.8557704091072083
dnk,2000,0.34559154510498047
dnk,2001,0.1826568990945816
dnk,2002,0.27445027232170105
dnk,2003,0.2756839096546173
dnk,2004,0.25374698638916016
dnk,2005,0.3214346170425415
dnk,2006,0.17515382170677185
dnk,2007,0.17670421302318573
dnk,2008,0.18380099534988403
dnk,2009,0.1411183625459671
dnk,2010,0.16767290234565735
dnk,2011,0.1913282573223114
dnk,2012,0.16163776814937592
dnk,2013,0.21920336782932281
dnk,2014,0.10462561994791031
dnk,2015,0.11151496320962906
dnk,2016,0.11201704293489456
dnk,2017,0.11045365780591965
dom,2000,1.62509286403656
dom,2001,1.5574826002120972
dom,2002,1.5052902698516846
dom,2003,1.4602553844451904
dom,2004,1.4245643615722656
dom,2005,1.3885369300842285
dom,2006,1.356457233428955
dom,2007,1.3306840658187866
dom,2008,1.3205534219741821
dom,2009,1.318576455116272
dom,2010,1.316748023033142
dom,2011,1.3068183660507202
dom,2012,1.299292802810669
dom,2013,1.3061790466308594
dom,2014,1.3361066579818726
dom,2015,1.2988483905792236
dom,2016,1.2751561403274536
dom,2017,1.290838599205017
dza,2000,1.9498093128204346
dza,2001,1.8585854768753052
dza,2002,1.7464174032211304
dza,2003,1.6346304416656494
dza,2004,1.5325548648834229
dza,2005,1.4315011501312256
dza,2006,1.3528817892074585
dza,2007,1.2984659671783447
dza,2008,1.2767915725708008
dza,2009,1.2610069513320923
dza,2010,1.2530781030654907
dza,2011,1.2506301403045654
dza,2012,1.2619500160217285
dza,2013,1.2774865627288818
dza,2014,1.290799856185913
dza,2015,1.302016258239746
dza,2016,1.3058066368103027
dza,2017,1.3018653392791748
ecu,2000,2.178879499435425
ecu,2001,2.061807632446289
ecu,2002,1.9646755456924438
ecu,2003,1.832308053970337
ecu,2004,1.7580978870391846
ecu,2005,1.7088922262191772
ecu,2006,1.6687999963760376
ecu,2007,1.6243865489959717
ecu,2008,1.5889661312103271
ecu,2009,1.549687385559082
ecu,2010,1.5076123476028442
ecu,2011,1.4677611589431763
ecu,2012,1.4289675951004028
ecu,2013,1.388848066329956
ecu,2014,1.2634450197219849
ecu,2015,1.2594845294952393
ecu,2016,1.3664073944091797
ecu,2017,1.2640269994735718
egy,2000,0.9197341203689575
egy,2001,0.9463018178939819
egy,2002,0.9661847949028015
egy,2003,0.9870297908782959
egy,2004,1.0093353986740112
egy,2005,1.0475234985351562
egy,2006,1.0880310535430908
egy,2007,1.1230064630508423
egy,2008,1.1521811485290527
egy,2009,1.1757487058639526
egy,2010,1.1959623098373413
egy,2011,1.2126463651657104
egy,2012,1.2302860021591187
egy,2013,1.2483478784561157
egy,2014,1.1366571187973022
egy,2015,1.1358596086502075
egy,2016,1.1223667860031128
egy,2017,1.1165359020233154
eri,2000,4.847227096557617
eri,2001,4.589152812957764
eri,2002,4.389957427978516
eri,2003,4.196357250213623
eri,2004,4.056507110595703
eri,2005,3.9375617504119873
eri,2006,3.8888885974884033
eri,2007,3.9030113220214844
eri,2008,3.9838974475860596
eri,2009,4.016378402709961
eri,2010,3.961979627609253
eri,2011,3.882059097290039
eri,2012,3.8048245906829834
eri,2013,3.7033743858337402
eri,2014,3.600602388381958
eri,2015,3.599360227584839
eri,2016,3.911229133605957
eri,2017,3.7808339595794678
esp,2000,0.3408781588077545
esp,2001,0.35907939076423645
esp,2002,0.31437957286834717
esp,2003,0.319917231798172
esp,2004,0.29153960943222046
esp,2005,0.263804167509079
esp,2006,0.23631492257118225
esp,2007,0.26741334795951843
esp,2008,0.2539440393447876
esp,2009,0.20698535442352295
esp,2010,0.23451051115989685
esp,2011,0.1409536749124527
esp,2012,0.16352267563343048
esp,2013,0.19066092371940613
esp,2014,0.16106538474559784
esp,2015,0.15932880342006683
esp,2016,0.16606751084327698
esp,2017,0.15428374707698822
est,2000,2.341047525405884
est,2001,1.49323570728302
est,2002,1.5948352813720703
est,2003,1.5220803022384644
est,2004,0.8004318475723267
est,2005,1.157934546470642
est,2006,1.1035833358764648
est,2007,0.5286476612091064
est,2008,0.941662073135376
est,2009,0.728910505771637
est,2010,0.87794029712677
est,2011,0.6887284517288208
est,2012,0.47265103459358215
est,2013,0.8744774460792542
est,2014,0.26150229573249817
est,2015,0.2523997724056244
est,2016,0.22431354224681854
est,2017,0.22827507555484772
eth,2000,5.399082183837891
eth,2001,5.302139759063721
eth,2002,5.190455436706543
eth,2003,5.010851860046387
eth,2004,4.779764175415039
eth,2005,4.715967655181885
eth,2006,4.831813335418701
eth,2007,4.782166004180908
eth,2008,4.5186591148376465
eth,2009,4.468198299407959
eth,2010,4.271355628967285
eth,2011,4.244335651397705
eth,2012,4.147393703460693
eth,2013,4.056011199951172
eth,2014,4.0319719314575195
eth,2015,3.9567086696624756
eth,2016,3.815563917160034
eth,2017,3.650470733642578
fin,2000,0.21654446423053741
fin,2001,0.2566409409046173
fin,2002,0.2645271122455597
fin,2003,0.3074709177017212
