region,year,age_group,cause,death_rate
2_amr,2017,neo,7,0.019959090277552605
4_eur,2017,neo,7,0.0280427448451519
3_sear,2017,neo,7,0.23091401159763336
5_emr,2017,neo,7,0.6011183857917786
6_wpr,2017,neo,7,0.017647992819547653
5_emr,2000,neo,8,0.0
6_wpr,2000,neo,8,0.0
1_afr,2000,neo,8,0.0
2_amr,2000,neo,8,0.0
3_sear,2000,neo,8,0.0
4_eur,2000,neo,8,0.0
5_emr,2001,neo,8,0.0
2_amr,2001,neo,8,0.0
3_sear,2001,neo,8,0.0
6_wpr,2001,neo,8,0.0
1_afr,2001,neo,8,0.0
4_eur,2001,neo,8,0.0
5_emr,2002,neo,8,0.0
3_sear,2002,neo,8,0.0
4_eur,2002,neo,8,0.0
1_afr,2002,neo,8,0.0
6_wpr,2002,neo,8,0.0
2_amr,2002,neo,8,0.0
6_wpr,2003,neo,8,0.0
4_eur,2003,neo,8,0.0
3_sear,2003,neo,8,0.0
1_afr,2003,neo,8,0.0
5_emr,2003,neo,8,0.0
2_amr,2003,neo,8,0.0
4_eur,2004,neo,8,0.0
5_emr,2004,neo,8,0.0
6_wpr,2004,neo,8,0.0
1_afr,2004,neo,8,0.0
3_sear,2004,neo,8,0.0
2_amr,2004,neo,8,0.0
4_eur,2005,neo,8,0.0
2_amr,2005,neo,8,0.0
6_wpr,2005,neo,8,0.0
5_emr,2005,neo,8,0.0
3_sear,2005,neo,8,0.0
1_afr,2005,neo,8,0.0
1_afr,2006,neo,8,0.0
2_amr,2006,neo,8,0.0
5_emr,2006,neo,8,0.0
4_eur,2006,neo,8,0.0
3_sear,2006,neo,8,0.0
6_wpr,2006,neo,8,0.0
5_emr,2007,neo,8,0.0
1_afr,2007,neo,8,0.0
6_wpr,2007,neo,8,0.0
2_amr,2007,neo,8,0.0
3_sear,2007,neo,8,0.0
4_eur,2007,neo,8,0.0
5_emr,2008,neo,8,0.0
6_wpr,2008,neo,8,0.0
3_sear,2008,neo,8,0.0
2_amr,2008,neo,8,0.0
4_eur,2008,neo,8,0.0
1_afr,2008,neo,8,0.0
5_emr,2009,neo,8,0.0
1_afr,2009,neo,8,0.0
6_wpr,2009,neo,8,0.0
4_eur,2009,neo,8,0.0
2_amr,2009,neo,8,0.0
3_sear,2009,neo,8,0.0
6_wpr,2010,neo,8,0.0
4_eur,2010,neo,8,0.0
1_afr,2010,neo,8,0.0
3_sear,2010,neo,8,0.0
2_amr,2010,neo,8,0.0
5_emr,2010,neo,8,0.0
1_afr,2011,neo,8,0.0
4_eur,2011,neo,8,0.0
5_emr,2011,neo,8,0.0
3_sear,2011,neo,8,0.0
2_amr,2011,neo,8,0.0
6_wpr,2011,neo,8,0.0
2_amr,2012,neo,8,0.0
6_wpr,2012,neo,8,0.0
5_emr,2012,neo,8,0.0
3_sear,2012,neo,8,0.0
1_afr,2012,neo,8,0.0
4_eur,2012,neo,8,0.0
1_afr,2013,neo,8,0.0
5_emr,2013,neo,8,0.0
2_amr,2013,neo,8,0.0
4_eur,2013,neo,8,0.0
3_sear,2013,neo,8,0.0
6_wpr,2013,neo,8,0.0
2_amr,2014,neo,8,0.0
5_emr,2014,neo,8,0.0
3_sear,2014,neo,8,0.0
4_eur,2014,neo,8,0.0
1_afr,2014,neo,8,0.0
6_wpr,2014,neo,8,0.0
2_amr,2015,neo,8,0.0
4_eur,2015,neo,8,0.0
6_wpr,2015,neo,8,0.0
1_afr,2015,neo,8,0.0
5_emr,2015,neo,8,0.0
3_sear,2015,neo,8,0.0
2_amr,2016,neo,8,0.0
1_afr,2016,neo,8,0.0
3_sear,2016,neo,8,0.0
5_emr,2016,neo,8,0.0
6_wpr,2016,neo,8,0.0
4_eur,2016,neo,8,0.0
1_afr,2017,neo,8,0.0
2_amr,2017,neo,8,0.0
4_eur,2017,neo,8,0.0
3_sear,2017,neo,8,0.0
5_emr,2017,neo,8,0.0
6_wpr,2017,neo,8,0.0
5_emr,2000,neo,9,2.793734550476074
6_wpr,2000,neo,9,2.52468204498291
1_afr,2000,neo,9,3.0771877765655518
2_amr,2000,neo,9,0.5473129749298096
3_sear,2000,neo,9,2.827763795852661
4_eur,2000,neo,9,0.4804840385913849
5_emr,2001,neo,9,2.7079336643218994
2_amr,2001,neo,9,0.4848982095718384
3_sear,2001,neo,9,2.7012088298797607
6_wpr,2001,neo,9,2.2406795024871826
1_afr,2001,neo,9,3.027157783508301
4_eur,2001,neo,9,0.4492160677909851
5_emr,2002,neo,9,2.62381911277771
3_sear,2002,neo,9,2.571983575820923
4_eur,2002,neo,9,0.4149322211742401
1_afr,2002,neo,9,2.9687256813049316
6_wpr,2002,neo,9,1.9748560190200806
2_amr,2002,neo,9,0.46216079592704773
6_wpr,2003,neo,9,1.7733978033065796
4_eur,2003,neo,9,0.39179885387420654
3_sear,2003,neo,9,2.4440627098083496
1_afr,2003,neo,9,2.8994877338409424
5_emr,2003,neo,9,2.540611982345581
2_amr,2003,neo,9,0.42118704319000244
